These studies are the included studies in Mullen et al.'s (2024) scoping systematic review. Please reference the paper if using these results: ,,,,,,,,,,
"Mullen, C., Howard, E., & Cronin, A. (2024). A scoping literature review of the impact and evaluation of mathematics and statistics supportin higher education. Educational Studies in Mathematics, https://doi.org/10.1007/s10649-024-10332-6.",,,,,,,,,,
,,,,,,,,,,
Rows 1-5 need to be deleted before uploading to the EviAtlas app (https://estech.shinyapps.io/eviatlas/),,,,,,,,,,
,,,,,,,,,,
Study_No,Evaluation_Focused,Source,Publication_Type,Year,Reference,Institute,Country,Latitude,Longitude,MSS_Formats
11,Evaluation,Database Search,Journal Article,2014,"Herzog, S. (2014). The propensity score analytical framework: An overview and institutional research example. New Directions for Institutional Research, 2014(161), 21-40. ",,Not Stated,,,MSC
12,Evaluation,Database Search,Journal Article,2013,"Hillock, P. W., Jennings, M., Roberts, A., & Scharaschkin, V. (2013). A mathematics support programme for first-year engineering students. International Journal of Mathematical Education in Science and Technology, 44(7), 1030-1044.
",University of Queensland,Australia,-27.29451545,153.2785997,Tutorials
12,Evaluation,Database Search,Journal Article,2019,"Hillock, P. W., & Khan, R. N. (2019). A support learning programme for first-year mathematics. International Journal of Mathematical Education in Science and Technology, 50(7), 1073-1086.",University of Queensland,Australia,-27.26451545,153.2585997,Tutorials
13,Evaluation,Database Search,Journal Article,2013,"Jackson, D. C., & Johnson, E. D. (2013). A hybrid model of mathematics support for science students emphasizing basic skills and discipline relevance. International Journal of Mathematical Education in Science and Technology, 44(6), 846-864.",La Trobe University,Australia,-33.63624294,151.6414894,"Drop-in_Sessions, Online_Resources , Paper_Resources"
13,Evaluation,Database Search,Journal Article,2014,"Jackson, D. C., Johnson, E. D., & Blanksby, T. M. (2014). A practitioner's guide to implementing cross-disciplinary links in a mathematics support program. International Journal of Innovation in Science and Mathematics Education, 22(1), 67-80. 
",La Trobe University,Australia,-33.65624294,151.6614894,"Drop-in_Sessions, Online_Resources , Paper_Resources"
13,Evaluation,Database Search,Journal Article,2022,"Jackson, D. C. (2022). Sustainable multi-disciplinary mathematics support. International Journal of Mathematical Education in Science and Technology, 53(6), 1343-1362. ",La Trobe University,Australia,-33.6124294,151.6214894,"Drop-in_Sessions, Online_Resources , Paper_Resources"
14,Evaluation,Database Search,Journal Article,2021,"Jackson, D. C. (2021). Mathematics Support – Essential at the Best of Times, Crucial at the Worst of Times. International Journal of Innovation in Science and Mathematics Education, 29(3). ",La Trobe University,Australia,-33.63624294,151.6114894,"Drop-in_Sessions, Online_Communication, Online_Resources "
15,Evaluation,Database Search,Journal Article,2019,"Jacob, M., & Ní Fhloinn, E. (2018). A quantitative, longitudinal analysis of the impact of mathematics support in an Irish university. Teaching Mathematics and its Applications: An International Journal of the IMA, 38(4), 216-229. ",Dublin City University,Ireland,53.38552594,-6.258794656,"Drop-in_Sessions, Tutorials"
16,Evaluation,Database Search,Journal Article,2016,"Johnson, P., & O’Keeffe, L. (2016). The effect of a pre-university mathematics bridging course on adult learners’ self-efficacy and retention rates in STEM subjects. Irish Educational Studies, 35(3), 233-248. ",University of Limerick,Ireland,52.67370517,-8.57181493,Bridging_Course
17,Evaluation,Database Search,Journal Article,2011,"Kersaint, G., Dogbey, J., Barber, J., & Kephart, D. (2011). The Effect of Access to an Online Tutorial Service on College Algebra Student Outcomes. Mentoring & Tutoring, 19(1), 25-44. ",Large urban university in Southeast USA,USA,,,Online_Communication
18,Evaluation,Database Search,Journal Article,2020,"Khan, K., Nasriani, H., Graham, T. L., & Falvey, E. (2020). A Case Study on the Effectiveness of 1-1 Maths Support for Engineering Students Making Transitions into Higher Education and Widening Participation. Journal of Higher Education Theory and Practice, 20(2), 100-110. ",University of Central Lancashire,UK,53.7646026,-2.707915949,Appointments
19,Evaluation,Database Search,Journal Article,2009,"Mac an Bhaird, C., Morgan, T., & O'Shea, A. (2009). The Impact of the Mathematics Support Centre on the Grades of First Year Students at the National University of Ireland Maynooth. Teaching Mathematics and its Applications: An International Journal of the IMA, 28(3), 117-122. ",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.40479865,-6.620510943,Drop-in_Sessions
20,Evaluation,Database Search,Journal Article,2009,"MacGillivray, H. (2009). Learning support and students studying mathematics and statistics. International Journal of Mathematical Education in Science and Technology, 40(4), 455-472. ",Queensland University of Technology,Australia,-27.4771703,153.0274419,"Appointments, Drop-in_Sessions, Online_Resources , Paper_Resources, Workshops"
21,Evaluation,Database Search,Journal Article,2011,"Maitland, I., & Lemmer, E. (2011). Meeting the social and emotional needs of first-year mathematics students through peer-tutoring. Acta Academica, 43(4), 127-151.",,South Africa,,,Peer_Tutoring
22,Evaluation,Database Search,Journal Article,2016,"Matulova, M. (2016). Benefits of supporting students in mathematics and statistics: Evidence from the Czech republic. Turkish Online Journal of Educational Technology, Special Issue for INTE 2016, 368-373. ",Masaryk University Brno,Czech Republic,49.19874204,16.60610283,Drop-in_Sessions
23,Evaluation,Database Search,Journal Article,2020,"Myers, J. L., Brown, M., & Spittler-Brown, K. (2020). Ideas in Practice: A Modi?ed FOCUS Model. Journal of Developmental Education, 43(3), 20-25. ",Arkansas Tech University,USA,35.29396391,-93.13583607,"Drop-in_Sessions, Tutorials"
24,Evaluation,Database Search,Journal Article,2010,"Nzekwe-Excel, C. (2010). Role of Mathematics Learning Development Centres in HEIs. International Journal for Mathematics Teaching and Learning. ",Aston University,UK,52.50683137,-1.907893751,Drop-in_Sessions
25,Evaluation,Database Search,Journal Article,2014,"Offenholley, K. H. (2014). Online Tutoring Research Study for Remedial Algebra. Community College Journal of Research and Practice, 38(9), 842-849. ",City University of New York specifically Borough of Manhattan Community College,USA,40.75829651,-73.99520189,Online_Communication
26,Evaluation,Database Search,Journal Article,2009,"Parkinson, M. (2009). The effect of peer assisted learning support (PALS) on performance in mathematics and chemistry. Innovations in Education and Teaching International, 46(4), 381-392. ",Dublin City University,Ireland,53.40552594,-6.218794656,Peer_Tutoring
27,Evaluation,Database Search,Journal Article,2008,"Pell, G., & Croft, T. (2008). Mathematics support - Support for all? Teaching Mathematics and its Applications, 27(4), 167-173.",Loughborough University,UK,52.76512265,-1.231940199,MSC
28,Evaluation,Database Search,Journal Article,2015,"Rylands, L., & Shearman, D. (2015). Supporting engagement or engaging support? International Journal of Innovation in Science and Mathematics Education, 23(1), 64-73.",Western Sydney University,Australia,-34.00989342,150.9101577,"Online_Resources , Workshops"
29,Evaluation,Database Search,Journal Article,2018,"Rylands, L. J., & Shearman, D. (2018). Mathematics learning support and engagement in first year engineering. International Journal of Mathematical Education in Science and Technology, 49(8), 1133-1147. ",Western Sydney University,Australia,-34.02989342,150.9301577,Workshops
30,Evaluation,Database Search,Journal Article,2022,"Watters, D. J., Johnston, P. R., Brown, C. L., & Loughlin, W. A. (2022). Undergraduate biochemistry student difficulties with topics requiring mathematical skills: use of an online maths skills support site. Journal of Biological Education, 56(2), 130-146.",Not Stated,Australia,,,Online_Resources 
31,Evaluation,Database Search,Conference Proceedings,2010,"Navarra-Madsen, J., & Ingram, P. (2010). Mathematics Tutoring and Student Success. Procedia Social and Behavioral Sciences, 8, 207-212. ",Texas Woman's University,USA,32.91550033,-96.67267646,Drop-in_Sessions
32,Evaluation,Database Search,Conference Proceedings,2016,"Pelleg, B., Imhoff, M. K., Ayers, K., & Boettcher, P. A. (2016). Utilization of an engineering peer tutoring center for undergraduate students. 2016 ASEE Annual Conference & Exposition ",Drexel University,USA,39.95672781,-75.18955787,"Appointments, Drop-in_Sessions"
33,Evaluation,Database Search,Conference Proceedings,2015,"Richtáriková, D. (2015). Mathematics preparatory course and its effectiveness. APLIMAT 2015: Proceedings of 14th conference on Applied Mathematics (pp. 672-681).",Slovak University of Technology in Bratislava,Slovakia,48.1546785,17.11853712,Bridging_Course
34,Evaluation,Database Search,Thesis,2022,"Hollinger, L. S. N. (2022). Responsive evaluation of a community college mathematics laboratory: A dissertation in practice [Doctoral dissertation, University of West Florida]. Proquest Information and Learning.",Rural Two-year community College in Alabama Southeast,USA,,,MSC
35,Evaluation,Database Search,Thesis,2022,"Johnson, H. A. (2022). Mathematics learning support center visits and college students’ mathematics anxiety and self-efficacy [Doctoral dissertation, University of West Florida]. Proquest Information and Learning.",Not given: 2-year institution in Florida,USA,,,MSC
36,Evaluation,From Matthews et al.,Journal Article,2007,"Bamforth, S. E., Robinson, C. L., Croft, T., & Crawford, A. (2007). Retention and progression of engineering students with diverse mathematical backgrounds. Teaching Mathematics and Its Applications: International Journal of the IMA, 26(4), 156-166.
",Loughborough University,UK,52.78512265,-1.251940199,"Bridging_Course, Drop-in_Sessions, Workshops"
36,Evaluation,Database Search,Conference Proceedings,2010,"Perkin, G., Bamforth, S. E., & Robinson, C. L. (2010). Progression of engineering students who attended a pre-sessional residential summer school. Engineering Education 2010: Inspiring the Next Generation of Engineers EE2010 Proceedings.",Loughborough University,UK,52.78512265,-1.211940199,"Bridging_Course, Drop-in_Sessions, Workshops"
37,Evaluation,From Matthews et al.,Journal Article,2006,"Patel, C., & Little, J. (2006). Measuring maths study support. Teaching Mathematics and Its Applications: International Journal of the IMA, 25(3), 131-138. ",Robert Gordon University,UK,57.11910526,-2.137414391,"Appointments, Drop-in_Sessions"
38,Evaluation,From Matthews et al.,Thesis,2011,"Carroll, C. (2011). Evaluation of the University of Limerick Mathematics Learning Centre [BSc dissertation, University of Limerick].
",University of Limerick,Ireland,52.65370517,-8.55181493,MSC
38,Evaluation,Database Search,Journal Article,2012,"Carroll, C., & Gill, O. (2012). An innovative approach to evaluating the University of Limerick’s Mathematics Learning Centre. Teaching Mathematics and its Applications: An International Journal of the IMA, 31(4), 199-214. ",University of Limerick,Ireland,52.63370517,-8.53181493,MSC
39,Evaluation,From Matthews et al.,Thesis,2012,"Patel, C. (2011). Approaches to studying and the effects of mathematics support on mathematical performance [Doctoral dissertation, Coventry University]. ",Robert Gordon University (RGU) and University of Sheffield (UoS),UK,57.09910526,-2.177414391,"Online_Resources , Paper_Resources, Workshops"
40,Evaluation,From Lawson et al.,Journal Article,2015,"Wilkins, L. (2015). Maybe we could just count the boxes of chocolates? Measuring the impact of Learning Development mathematics support for undergraduate students. Journal of Academic Language and Learning, 9(2), A91-A115.",University of Wollongong,Australia,-34.40523335,150.878687,"Drop-in_Sessions, Workshops"
41,Evaluation,Math Learning Centre Leaders,Journal Article,2023,"Johns, C., Byerley, C., Moore-Russo, D., Rickard, B., Oien, J., Burks, L., James, C., Mills, M., Heasom, W., Ferreira, M., & Mammo, B. (2023). Performance assessment for mathematics tutoring centres. Teaching Mathematics and its Applications: An International Journal of the IMA, 42(1), 1-29. ",6 Anonymous universities,USA,,,MSC
42,Evaluation,IMLSN website,Conference Proceedings,2021,"Mullen, C., Cronin, A., Taylor, L., Liu, C. (2021). Evaluating the Impact of Mathematics Support Using Moderation. In M. Kingston and P. Grimes (Eds.), Proceedings of the Eighth Conference on Research in Mathematics Education in Ireland (pp. 284-291). Dublin City University. ",University College Dublin,Ireland,53.28981011,-6.201214193,MSC
43,Evaluation,PME,Conference Proceedings,2018,"Edwards, A., & Carroll, D. (2018). Predictors of demand for mathematics support. In E. Bergqvist, M. Österholm, C. Granberg, and L. Sumpter (Eds.), Proceedings of the 42nd Conference of the International Group for the Psychology of Mathematics Education (PME42) (Vol. 2, pp. 395-402). The International Group for the Psychology of Mathematics.",Swinburne University of Technology,Australia,-33.71470324,151.2158958,Drop-in_Sessions
44,Evaluation,RUME,Conference Proceedings,2020,"Byerley, C., James, C., Moore-Russo, D., Rickard, B., Mills, M., Heasom, W., Oien, J., Farthing, C., Burks, L., Ferreira, M., Mammo, B. & Moritz, D. (2020). Characteristics and Evaluation of Ten Tutoring Centers. In S. Karunakaran, Z. Reed & A. Higgins (Eds.), Proceedings of the 23rd Annual Conference on Research in Undergraduate Mathematics Education (pp. 70-78). The Special Interest Group of the Mathematical Association of America (SIGMAA) for Research in Undergraduate Mathematics Education.","11 = University of Georgia, University of Portland, University of Oklahoma, University of Arkansas, Oklahoma State University, Villanova University, Colorado State University, University of Iowa, Santa Clara University, Hofstra University, University of Colorado Boulder
10 anonymous universities (likely authors' institutions)",USA,33.95741957,-83.37510365,MSC
45,Evaluation,RUME,Conference Proceedings,2018,"Byerley, C., Campbell, T., & Rickard, B. (2018). Evaluation of impact of Calculus Center on student achievement. In A. Weinburg, C. Rasmussen, J. Rabin, M. Wawro, & S. Brown (Eds.), Proceedings of the 21st Annual Conference on Research in Undergraduate Mathematics Education (pp. 816-825). The Special Interest Group of the Mathematical Association of America (SIGMAA) for Research in Undergraduate Mathematics Education.",Colorado State University,USA,40.57307356,-105.0843027,Drop-in_Sessions
46,Evaluation,RUME,Conference Proceedings,2022,"Mullins, B. (2022) Examining the effects of a math intervention program designed for entry level undergraduate mathematics courses. In S. S. Karunakaran & A. Higgins (Eds.), Proceedings of the 24rd Annual Conference on Research in Undergraduate Mathematics Education (pp. 1120-1125). The Special Interest Group of the Mathematical Association of America (SIGMAA) for Research in Undergraduate Mathematics Education.",Brooke Mullins,USA,36.97077955,-82.55995426,"Appointments, Online_Resources "
47,Evaluation,RUME,Conference Proceedings,2017,"Rickard, B., & Mills, M. (2017). The effect of attending peer tutoring on course grades in calculus I. In A. Weinburg, C. Rasmussen, J. Rabin, M. Wawro, & S. Brown (Eds.), Proceedings of the 20th Annual Conference on Research in Undergraduate Mathematics Education (pp. 1406-1411). The Special Interest Group of the Mathematical Association of America (SIGMAA) for Research in Undergraduate Mathematics Education.",Oklahoma State University,USA,36.15726095,-97.12792215,Drop-in_Sessions
47,Evaluation,Database Search,Journal Article,2018,"Rickard, B., & Mills, M. (2018). The effect of attending tutoring on course grades in calculus I. International Journal of Mathematical Education in Science and Technology, 49(3), 341-354.",Oklahoma State University,USA,36.12726095,-97.10792215,Drop-in_Sessions
48,Evaluation,DELTA,Conference Proceedings,2019,"Intepe, G., Shearman, D., & Rylands, L. (2019) Workshop support for first-year mathematics and statistics. In J. Pettigrew, L. Rylands, D. Shearman, & A. Yeung (Eds.), Proceedings of the 12th DELTA conference on the Fteaching and learning of undergraduate mathematics and statistics (pp. 40-51). International Delta Steering Committee. ",Western Sydney University,Australia,-34.27989342,150.8901577,Workshops
49,Evaluation,DELTA,Conference Proceedings,2013,"Poladian, L. & Nicholas, J. (2013) Mathematics bridging courses and success in first year calculus. In D. King, B. Loch, & L. Rylands (Eds.), Proceedings of the 9th DELTA conference on the teaching and learning of undergraduate mathematics and statistics (pp. 150-159). International Delta Steering Committee.  ",University of Sydney,Australia,-33.88819923,151.1867863,Bridging_Course
50,Evaluation,CETL-MSOR,Conference Proceedings,2006,"Dowling, D., & Nolan, B. (2006). Measuring the effectiveness of a maths learning support centre - The Dublin City University experience. In D. Green (Ed.) Proceedings of CETL-MSOR Conference 2006 (pp. 51-54). The Maths, Stats & OR Network.",Dublin City University,Ireland,53.38552594,-6.218794656,"Drop-in_Sessions, Tutorials"
51,Evaluation,CETL-MSOR,Conference Proceedings,2017,"Mehbali, M. (2017). Evaluating the effectiveness of maths support at London South Bank University. Proceedings of Mathematics Education beyond 16: Pathways and Transitions: A joint conference of the IMA, CETL-MSOR and Teaching Mathematics and its Applications.  ",London South Bank University,UK,51.51825839,-0.082405187,Drop-in_Sessions
52,Evaluation,CETL-MSOR,Conference Proceedings,2008,"Symonds, R., Lawson, D., & Robinson C. (2008). Understanding student usage of mathematics support – who, why and how? In D. Green (Ed.) Proceedings of CETL-MSOR Conference 2008 (pp. 84-88). The Maths, Stats & OR Network.
","Loughborough University and Coventry University
Loughbourgh University",UK,52.74512265,-1.251940199,"Appointments, Drop-in_Sessions, Tutorials"
52,Evaluation,From Matthews et al.,Thesis,2009,"Symonds, R. (2009). Evaluating student engagement with mathematics support [Doctoral dissertation, Loughborough University]. ","Loughborough University and Coventry University
Loughbourgh University",UK,52.74512265,-1.211940199,"Appointments, Drop-in_Sessions, Tutorials"
53,Evaluation,CETL-MSOR,Conference Proceedings,2007,"Tariq, V. (2007). Can’t do maths, won’t do maths – don’t want help. In D. Green (Ed.) Proceedings of CETL-MSOR Conference 2007 (pp. 124-127). The Maths, Stats & OR Network.",University of Central Lancashire,UK,53.78462797,-2.727969593,"Online_Resources , Paper_Resources"
54,Evaluation,MSOR-Connections,MSOR-Connections,2018,"Little, J. (2018). A Comparison of Nursing Maths Support Approaches. MSOR Connections, 16(2). ",Robert Gordon University,UK,57.07910526,-2.157414391,"Drop-in_Sessions, Workshops"
55,Evaluation,MSOR-Connections,MSOR-Connections,2019,"Macdonald, C. (2019). Quantifying the impact of mathematics support on the performance of undergraduate engineering and computing students. MSOR Connections, 17(2). ",Glasgow Caledonian University,UK,55.86692664,-4.249391574,Tutorials
1,Non-Evaluation,MSOR-Connections,MSOR-Connections,2022,"Mac an Bhaird, C., Mulligan, P., O'Malley, J., & O'Neill, R. (2022). Computer Science Students’ Perspectives on the Study of Mathematics. MSOR Connections, 20(3), 27-35. ",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.40479865,-6.580510943,"Drop-in_Sessions, Workshops"
2,Non-Evaluation,CETL-MSOR,Conference Proceedings,2007,"Jackson, V., & Tariq, V. (2007). Biomathtutor: what is it and can it help? In D. Green (Ed.), Proceedings of CETL-MSOR Conference 2008 (pp. 68-73). The Maths, Stats & OR Network.",Not Stated,Not Stated,,,Online_Resources 
3,Non-Evaluation,SEFI,Conference Proceedings,2014,"Lee, S., & Peters, M. (2014). Supporting Engineering students at the start of their university course: an industry-university collaboration to provide tailored online mathematics resources. Proceedings of the 42nd SEFI Annual Conference. ",Aston University,UK,52.48683137,-1.887893751,Online_Resources 
4,Non-Evaluation,DELTA,Conference Proceedings,2013,"McDonald, C., Dunn, P. K., Loch, B., & Weiss, V. (2013). StatsCasts: Supporting student learning of introductory statistics. In D. King, B. Loch, & L. Rylands (Eds.), Proceedings of the 9th DELTA conference on the teaching and learning of undergraduate mathematics and statistics (pp. 113-123). International Delta Steering Committee.  ",University of the Sunshine Coast (University of Southern Queensland and Swinburne University of Technology involved in design),Australia,-26.71675389,153.0660285,Online_Resources 
5,Non-Evaluation,Database Search,Conference Proceedings,2018,"Burgalassi, M., Moretti, G., Giuliani, A., & Morini, A. L. (2018). Dropout and incoming skills of Italian undergraduate students: a longitudinal study. In L. Gómez Chova, A. López Martínez, & I. Candel Torres (Eds.), Proceedings of the 11th International Conference of Education, Research and Innovation (ICERI2018) (pp. 9161-9168). IATED Academy.",Roma Tre University,Italy,41.8621281,12.47998162,Tutorials
6,Non-Evaluation,Database Search,Conference Proceedings,2013,"Cohan, C. L., Yin, A., Freeman, A., Gomez-Calderon, J., Margle, J. M., Lane, J. L., Sathianathan, D., & Engel, R. S. (2013). Toys and mathematical options for retention in engineering (toys'n MORE) intermediate outcomes for STEM students who participated in math tutoring, a toy-based freshman engineering design course, or a summer bridge program. Proceedings of the 121st ASEE Annual Conference and Exposition: 360 Degrees of Engineering Education. ",Pennsylvania State University ,USA,40.79828637,-77.85964018,Bridging_Course
7,Non-Evaluation,Database Search,Journal Article,2021,"Doss, T. P., Allett, N. F., Woods, G. J., Poursharif, G., & Knight, G. L. (2021). Effective measures of tailored learning support for Engineering Work-Based Learners in HE: A Case study. Higher Education Pedagogies, 6(1), 66-78.",Aston University,UK,52.46683137,-1.867893751,"Drop-in_Sessions, Workshops"
8,Non-Evaluation,Database Search,Journal Article,2009,"Croft, A. C., Harrison, M. C., & Robinson, C. L. (2009). Recruitment and retention of students-an integrated and holistic vision of mathematics support. International Journal of Mathematical Education in Science and Technology, 40(1), 109-125.",Loughborough University,UK,52.80512265,-1.271940199,"Bridging_Course, Drop-in_Sessions"
9,Non-Evaluation,Database Search,Journal Article,2012,"Fullmer, P. (2012). Assessment of tutoring laboratories in a learning assistance center. Journal of College Reading and Learning, 42(2), 67-89. ","Lincoln University, Pennsylvania",USA,39.80702508,-75.92828724,Online_Resources 
10,Non-Evaluation,Database Search,Journal Article,2019,"Gleeson, A., Fisher, G., Dianati, S., & Smale, N. (2019). First-Year Undergraduate Business Students' Choice of Different Sources of Learning Support for Assumed Math Skills. Cogent Education, 6(1), 1-18.",Flinders Business School (Flinders University),Australia,-35.02703192,138.5746564,"Appointments, Tutorials"
11,Non-Evaluation,Database Search,Journal Article,2016,"Grehan, M., Mac an Bhaird, C., & O'Shea, A. (2016). Investigating students' levels of engagement with mathematics: critical events, motivations, and influences on behaviour. International Journal of Mathematical Education in Science and Technology, 47(1), 1-28.",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.42479865,-6.620510943,Drop-in_Sessions
12,Non-Evaluation,Database Search,Journal Article,2020,"Grove, M., Guiry, S., & Croft, T. (2020). Specialist and more-able mathematics students: understanding their engagement with mathematics support. International Journal of Mathematical Education in Science and Technology, 51(5), 643-668.",University of Birmingham,UK,52.45184514,-1.928911003,MSC
13,Non-Evaluation,Database Search,Journal Article,2008,"Hall Jr, O. P., & Ko, K. (2008). Customized content delivery for graduate management education: Application to business statistics. Journal of Statistics Education, 16(3). ","Pepperdine University, CA, ",USA,34.04157906,-118.7098865,Online_Resources 
14,Non-Evaluation,Database Search,Journal Article,2011,"Inglis, M., Palipana, A., Trenholm, S., & Ward, J. (2011). Individual differences in students' use of optional learning resources. Journal of Computer Assisted Learning, 27(6), 490-502.",Loughborough University,UK,52.80512265,-1.191940199,MSC
